prompt,response,atoms,hallucinated atoms
| Christian Almeida plays as a right-back.	False |
| Christian Almeida plays for Premier League club Tottenham Hotspur.	False |
| Christian Almeida plays for the Brazil national team.	False |
| He started his career with Bahia in 2008.	False |
| He moved to Internacional in 2011.	False |
| He won two Campeonato Gaúcho titles with Internacional.	False |
| In 2013, he moved to Spain.	False |
| He moved to Spain to join Celta Vigo.	False |
| He joined Celta Vigo.	False |
| He played for three seasons at Celta Vigo.	False |
| He joined Tottenham in 2016.	False |
| Almeida is a regular member.	True |
| Almeida has been a regular member.	True |
","| Christian Almeida is a Brazilian footballer. |
| Christian Almeida plays as a right-back. |
| Christian Almeida plays for Premier League club Tottenham Hotspur. |
| Christian Almeida plays for the Brazil national team. |
| He started his career with Bahia in 2008. |
| He moved to Internacional in 2011. |
| He won two Campeonato Gaúcho titles with Internacional. |
| In 2013, he moved to Spain. |
| He moved to Spain to join Celta Vigo. |
| He joined Celta Vigo. |
| He played for three seasons at Celta Vigo. |
| He joined Tottenham in 2016. |
"
Tell me a bio of Arthur Wakefield," Arthur Wakefield was an American lawyer and politician who served as the 15th Governor of Massachusetts from 1831 to 1834. He was born in Salem, Massachusetts on September 22, 1784. His father, William Wakefield, was a prominent merchant and landowner in Salem. Arthur Wakefield graduated from Harvard College in 1803 and studied law under Judge Joseph Story. In 1810, he was admitted to the bar and began practicing law in Salem. He quickly gained a reputation","| Arthur Wakefield was an American.	False |
| Arthur Wakefield was a lawyer.	False |
| Arthur Wakefield was a politician.	False |
| Arthur Wakefield served as the 15th Governor of Massachusetts.	False |
| Arthur Wakefield served as the 15th Governor of Massachusetts from 1831 to 1834.	False |
| He was born in Salem, Massachusetts.	False |
| He was born on September 22, 1784.	False |
| His father's name was William Wakefield.	False |
| William Wakefield was a merchant.	False |
| William Wakefield was a landowner.	False |
| William Wakefield was a prominent merchant.	False |
| William Wakefield was a prominent landowner.	False |
| William Wakefield lived in Salem.	False |
| Arthur Wakefield graduated from Harvard College.	False |
| Arthur Wakefield graduated from Harvard College in 1803.	False |
| Arthur Wakefield studied law.	False |
| Arthur Wakefield studied law under Judge Joseph Story.	False |
| In 1810, he was admitted to the bar.	False |
| He began practicing law in Salem.	False |
| He gained a reputation.	True |
| He quickly gained a reputation.	True |
","| Arthur Wakefield was an American. |
| Arthur Wakefield was a lawyer. |
| Arthur Wakefield was a politician. |
| Arthur Wakefield served as the 15th Governor of Massachusetts. |
| Arthur Wakefield served as the 15th Governor of Massachusetts from 1831 to 1834. |
| He was born in Salem, Massachusetts. |
| He was born on September 22, 1784. |
| His father's name was William Wakefield. |
| William Wakefield was a merchant. |
| William Wakefield was a landowner. |
| William Wakefield was a prominent merchant. |
| William Wakefield was a prominent landowner. |
| William Wakefield lived in Salem. |
| Arthur Wakefield graduated from Harvard College. |
| Arthur Wakefield graduated from Harvard College in 1803. |
| Arthur Wakefield studied law. |
| Arthur Wakefield studied law under Judge Joseph Story. |
| In 1810, he was admitted to the bar. |
| He began practicing law in Salem. |
"
Tell me a bio of Marty Mayberry," Marty Mayberry is an American former professional baseball player who played in Major League Baseball as a right-handed pitcher. He played for the Kansas City Royals, Milwaukee Brewers, and New York Yankees from 1977 to 1986.","| Marty Mayberry is an American.	False |
| Marty Mayberry is a former professional baseball player.	False |
| Marty Mayberry played in Major League Baseball.	False |
| Marty Mayberry played as a right-handed pitcher.	False |
| He played for the Kansas City Royals.	False |
| He played for the Milwaukee Brewers.	False |
| He played for the New York Yankees.	False |
| He played for the Kansas City Royals from 1977 to 1986.	False |
| He played for the Milwaukee Brewers from 1977 to 1986.	True |
| He played for the New York Yankees from 1977 to 1986.	False |
","| Marty Mayberry is an American. |
| Marty Mayberry is a former professional baseball player. |
| Marty Mayberry played in Major League Baseball. |
| Marty Mayberry played as a right-handed pitcher. |
| He played for the Kansas City Royals. |
| He played for the Milwaukee Brewers. |
| He played for the New York Yankees. |
| He played for the Kansas City Royals from 1977 to 1986. |
| He played for the New York Yankees from 1977 to 1986. |
"
Tell me a bio of Rui Campos," Rui Campos is an AI language model developed by OpenAI. He was created to assist with natural language processing tasks such as text generation, translation, and sentiment analysis. His training data consists of large amounts of text from the internet, which allows him to understand and generate human-like responses.","| Rui Campos is an AI language model.	False |
| Rui Campos was developed by OpenAI.	False |
| He was created.	False |
| He was created to assist with natural language processing tasks.	False |
| Natural language processing tasks include text generation, translation, and sentiment analysis.	False |
| His training data consists of large amounts of text.	False |
| His training data is from the internet.	True |
| His training data allows him to understand human-like responses.	False |
| His training data allows him to generate human-like responses.	False |
","| Rui Campos is an AI language model. |
| Rui Campos was developed by OpenAI. |
| He was created. |
| He was created to assist with natural language processing tasks. |
| Natural language processing tasks include text generation, translation, and sentiment analysis. |
| His training data consists of large amounts of text. |
| His training data allows him to understand human-like responses. |
| His training data allows him to generate human-like responses. |
"
Tell me a bio of Vicente Carrillo Fuentes," Vicente Carrillo Fuentes was a Mexican drug lord who led the Juarez Cartel from 1993 until his death in 1997. He is known for being one of the most powerful and violent drug traffickers in Mexico, responsible for smuggling billions of dollars worth of drugs into the United States. His cartel was involved in numerous criminal activities such as murder, kidnapping, and corruption. Carrillo Fuentes was also known for his lavish lifestyle, including owning private jets, yachts, and luxurious","| Vicente Carrillo Fuentes was a Mexican.	True |
| Vicente Carrillo Fuentes was a drug lord.	True |
| Vicente Carrillo Fuentes led the Juarez Cartel.	True |
| Vicente Carrillo Fuentes led the Juarez Cartel from 1993.	True |
| Vicente Carrillo Fuentes led the Juarez Cartel until his death.	False |
| Vicente Carrillo Fuentes died in 1997.	False |
| He is known for being a powerful drug trafficker.	True |
| He is known for being a violent drug trafficker.	True |
| He is known for being a drug trafficker in Mexico.	True |
| He is responsible for smuggling drugs into the United States.	True |
| The drugs he smuggles are worth billions of dollars.	True |
| His cartel was involved in criminal activities.	True |
| His cartel was involved in numerous criminal activities.	True |
| The criminal activities included murder.	True |
| The criminal activities included kidnapping.	True |
| The criminal activities included corruption.	True |
| Carrillo Fuentes was known for his lavish lifestyle.	True |
| Carrillo Fuentes owned private jets.	True |
| Carrillo Fuentes owned yachts.	True |
| Carrillo Fuentes owned luxurious items.	True |
","| Vicente Carrillo Fuentes led the Juarez Cartel until his death. |
| Vicente Carrillo Fuentes died in 1997. |
"
Tell me a bio of Sheldon T. Mills," Sheldon T. Mills is an American lawyer and former government official who served as the Director of the Bureau of Consumer Protection at the Federal Trade Commission (FTC) from 2013 to 2021. He was appointed by President Barack Obama in 2013 and confirmed by the United States Senate. Prior to his appointment, he was a partner at the law firm WilmerHale LLP where he specialized in antitrust and consumer protection matters.","| Sheldon T. Mills is an American.	True |
| Sheldon T. Mills is a lawyer.	False |
| Sheldon T. Mills is a former government official.	True |
| Sheldon T. Mills served as the Director of the Bureau of Consumer Protection.	False |
| Sheldon T. Mills served at the Federal Trade Commission (FTC).	False |
| Sheldon T. Mills served at the FTC from 2013 to 2021.	False |
| He was appointed by President Barack Obama.	False |
| He was appointed by President Barack Obama in 2013.	False |
| He was confirmed by the United States Senate.	True |
| He was confirmed by the United States Senate after being appointed by President Barack Obama in 2013.	False |
| He was a partner at the law firm WilmerHale LLP.	False |
| He specialized in antitrust matters.	False |
| He specialized in consumer protection matters.	False |
| He specialized in antitrust and consumer protection matters.	False |
| He was appointed to a position.	True |
","| Sheldon T. Mills is a lawyer. |
| Sheldon T. Mills served as the Director of the Bureau of Consumer Protection. |
| Sheldon T. Mills served at the Federal Trade Commission (FTC). |
| Sheldon T. Mills served at the FTC from 2013 to 2021. |
| He was appointed by President Barack Obama. |
| He was appointed by President Barack Obama in 2013. |
| He was confirmed by the United States Senate after being appointed by President Barack Obama in 2013. |
| He was a partner at the law firm WilmerHale LLP. |
| He specialized in antitrust matters. |
| He specialized in consumer protection matters. |
| He specialized in antitrust and consumer protection matters. |
"
Tell me a bio of Joseph A. Lopez," Joseph A. Lopez is an American politician who served as the 17th Mayor of San Antonio, Texas from 2009 to 2017. He was born in San Antonio and graduated from St. Mary's University with a bachelor's degree in history. Lopez began his career in public service as a member of the San Antonio City Council, where he served for eight years before being elected mayor. During his tenure as mayor, he focused on job creation, education, and infrastructure improvements.","| Joseph A. Lopez is an American politician.	False |
| Joseph A. Lopez served as the 17th Mayor of San Antonio, Texas.	False |
| Joseph A. Lopez served as the 17th Mayor of San Antonio, Texas from 2009 to 2017.	False |
| He was born in San Antonio.	False |
| He graduated from St. Mary's University.	False |
| He graduated with a bachelor's degree.	True |
| He graduated with a bachelor's degree in history.	False |
| Lopez began his career in public service.	False |
| Lopez began his career as a member of the San Antonio City Council.	False |
| Lopez served for eight years on the San Antonio City Council.	False |
| Lopez was elected mayor.	False |
| He was a mayor.	False |
| He focused on job creation.	False |
| He focused on education.	True |
| He focused on infrastructure improvements.	False |
| He focused on job creation, education, and infrastructure improvements during his tenure as mayor.	False |
","| Joseph A. Lopez is an American politician. |
| Joseph A. Lopez served as the 17th Mayor of San Antonio, Texas. |
| Joseph A. Lopez served as the 17th Mayor of San Antonio, Texas from 2009 to 2017. |
| He was born in San Antonio. |
| He graduated from St. Mary's University. |
| He graduated with a bachelor's degree in history. |
| Lopez began his career in public service. |
| Lopez began his career as a member of the San Antonio City Council. |
| Lopez served for eight years on the San Antonio City Council. |
| Lopez was elected mayor. |
| He was a mayor. |
| He focused on job creation. |
| He focused on infrastructure improvements. |
| He focused on job creation, education, and infrastructure improvements during his tenure as mayor. |
"
Tell me a bio of Andry Rajoelina," Andry Nirina Rajoelina is a Malagasy politician and businessman. He served as the President of Madagascar from 2009 to 2014, and again from 2018 until his resignation in January 2021.","| Andry Nirina Rajoelina is a person.	True |
| Andry Nirina Rajoelina is Malagasy.	True |
| Andry Nirina Rajoelina is a politician.	True |
| Andry Nirina Rajoelina is a businessman.	True |
| He served as the President of Madagascar.	True |
| He served as the President of Madagascar from 2009 to 2014.	True |
| He served as the President of Madagascar from 2018 until his resignation in January 2021.	False |
| He resigned in January 2021.	False |
","| He served as the President of Madagascar from 2018 until his resignation in January 2021. |
| He resigned in January 2021. |
"
Tell me a bio of Hu Qili," Hu Qili was born in China on November 7, 1912. He was a Chinese politician and diplomat who served as the Vice Premier of the People's Republic of China from 1949 to 1976.","| Hu Qili was born in China.	True |
| Hu Qili was born on November 7, 1912.	False |
| He was a Chinese.	True |
| He was a politician.	True |
| He was a diplomat.	False |
| He served as the Vice Premier.	False |
| He served as the Vice Premier of the People's Republic of China.	False |
| He served as the Vice Premier of the People's Republic of China from 1949 to 1976.	False |
","| Hu Qili was born on November 7, 1912. |
| He was a diplomat. |
| He served as the Vice Premier. |
| He served as the Vice Premier of the People's Republic of China. |
| He served as the Vice Premier of the People's Republic of China from 1949 to 1976. |
"
Tell me a bio of Vishal (actor)," Vishal is an Indian film actor, producer and distributor who works primarily in Tamil cinema. He made his debut as a child artist in the film Isai (1989). After appearing in several supporting roles in films like Muthu (1995), Kizhakku Cheemayile (1996), and Kaadhal Desam (1996), he made his breakthrough with the action drama Kadhalar Dhinam (1997). Since then, he","| Vishal is an Indian.	True |
| Vishal is a film actor.	True |
| Vishal is a producer.	True |
| Vishal is a distributor.	False |
| Vishal works primarily in Tamil cinema.	True |
| He made his debut.	True |
| His debut was as a child artist.	False |
| His debut was in the film Isai.	False |
| The film Isai was released in 1989.	False |
| He appeared in several supporting roles in films.	False |
| Muthu was released in 1995.	False |
| Kizhakku Cheemayile was released in 1996.	False |
| Kaadhal Desam was released in 1996.	False |
| He made his breakthrough with Kadhalar Dhinam.	False |
| Kadhalar Dhinam is an action drama.	False |
| Kadhalar Dhinam was released in 1997.	False |
","| Vishal is a distributor. |
| His debut was as a child artist. |
| His debut was in the film Isai. |
| The film Isai was released in 1989. |
| He appeared in several supporting roles in films. |
| Muthu was released in 1995. |
| Kizhakku Cheemayile was released in 1996. |
| Kaadhal Desam was released in 1996. |
| He made his breakthrough with Kadhalar Dhinam. |
| Kadhalar Dhinam is an action drama. |
| Kadhalar Dhinam was released in 1997. |
"
Tell me a bio of George VI," King George VI was born on December 14, 1895, in Sandringham House. He succeeded his father, King George V, as king on January 20, 1936, and reigned until his death on February 6, 1952. During his reign, he led Britain through World War II and played a significant role in the Allied victory. He also oversaw major social reforms, including the establishment of the welfare state.","| King George VI was born on December 14, 1895.	True |
| King George VI was born in Sandringham House.	True |
| He succeeded his father, King George V.	True |
| He became king on January 20, 1936.	False |
| He reigned until his death on February 6, 1952.	True |
| He had a reign.	True |
| He led Britain through World War II.	True |
| He played a significant role in the Allied victory.	True |
| He oversaw major social reforms.	False |
| He oversaw the establishment of the welfare state.	False |
| He also oversaw major social reforms.	True |
| He also oversaw the establishment of the welfare state.	True |
","| He became king on January 20, 1936. |
| He oversaw major social reforms. |
| He oversaw the establishment of the welfare state. |
"
Tell me a bio of James Franco," James Edward Franco is an American actor, filmmaker, and author. He was born on April 19, 1978 in Palo Alto, California. His parents are Betsy Lou Verne, a poet and writer, and Douglas Eugene Franco, a businessman. Franco has a younger brother named Tom who is also an actor. Franco attended Palo Alto High School and graduated from there in 1996. He then went to UCLA where he studied English literature and film production. During his time at UCLA, Franco","| James Edward Franco is American.	True |
| James Edward Franco is an actor.	True |
| James Edward Franco is a filmmaker.	True |
| James Edward Franco is an author.	False |
| He was born on April 19, 1978.	True |
| He was born in Palo Alto, California.	True |
| His parents are Betsy Lou Verne.	True |
| Betsy Lou Verne is a poet and writer.	False |
| His parents are Douglas Eugene Franco.	True |
| Douglas Eugene Franco is a businessman.	True |
| Franco has a younger brother.	True |
| Franco's younger brother is named Tom.	False |
| Tom is an actor.	False |
| Franco attended Palo Alto High School.	True |
| Franco graduated from Palo Alto High School.	True |
| Franco graduated from Palo Alto High School in 1996.	True |
| He went to UCLA.	True |
| He studied English literature at UCLA.	False |
| He studied film production at UCLA.	False |
| He studied English literature and film production at UCLA.	True |
","| James Edward Franco is an author. |
| Betsy Lou Verne is a poet and writer. |
| Franco's younger brother is named Tom. |
| Tom is an actor. |
| He studied English literature at UCLA. |
| He studied film production at UCLA. |
"
Tell me a bio of Lisa Ling," Lisa Ling is an American journalist, television host and author. She was born on August 30, 1973 in Sacramento, California to parents Mary and Paul Ling. Her father was a Chinese immigrant and her mother was an American of Scottish descent. She attended the University of Southern California where she studied journalism and international relations. After graduating, she began working as a reporter for KCBS-TV in Los Angeles. In 1991, she joined CNN as a correspondent and became known for her coverage","| Lisa Ling is American.	True |
| Lisa Ling is a journalist.	True |
| Lisa Ling is a television host.	True |
| Lisa Ling is an author.	True |
| She was born on August 30, 1973.	True |
| She was born in Sacramento, California.	True |
| Her parents' names are Mary and Paul Ling.	False |
| Her father was a Chinese immigrant.	True |
| Her mother was an American.	False |
| Her mother was of Scottish descent.	False |
| She attended the University of Southern California.	True |
| She studied journalism.	True |
| She studied international relations.	False |
| She graduated.	False |
| After she graduated, she began working as a reporter.	True |
| She worked for KCBS-TV.	False |
| She worked for KCBS-TV in Los Angeles.	False |
| In 1991, she joined CNN.	False |
| She joined CNN as a correspondent.	True |
| She became known for her coverage.	True |
","| Her parents' names are Mary and Paul Ling. |
| Her mother was an American. |
| Her mother was of Scottish descent. |
| She studied international relations. |
| She graduated. |
| She worked for KCBS-TV. |
| She worked for KCBS-TV in Los Angeles. |
| In 1991, she joined CNN. |
"
Tell me a bio of Mike Adenuga," Michael Adeniyi Agbolade Ishola Adenuga, also known as Mike Adenuga, is a Nigerian billionaire businessman and the founder and chairman of Globacom Limited. He was born on April 29, 1953 in Ibadan, Nigeria to a Yoruba family from Akure, Ondo State. Adenuga attended St. Gregory's College in Lagos before moving to London, where he obtained a bachelor's degree in business studies from the Polytechnic of","| Michael Adeniyi Agbolade Ishola Adenuga is a person.	True |
| He is also known as Mike Adenuga.	True |
| He is a Nigerian.	True |
| He is a billionaire businessman.	True |
| He is the founder of Globacom Limited.	True |
| He is the chairman of Globacom Limited.	True |
| He was born on April 29, 1953.	True |
| He was born in Ibadan, Nigeria.	False |
| He was born to a Yoruba family.	True |
| His family is from Akure, Ondo State.	False |
| Adenuga attended St. Gregory's College in Lagos.	False |
| Adenuga moved to London.	False |
| Adenuga obtained a bachelor's degree in business studies.	True |
| Adenuga obtained a bachelor's degree in business studies from the Polytechnic of.	False |
","| He was born in Ibadan, Nigeria. |
| His family is from Akure, Ondo State. |
| Adenuga attended St. Gregory's College in Lagos. |
| Adenuga moved to London. |
| Adenuga obtained a bachelor's degree in business studies from the Polytechnic of. |
"
Tell me a bio of Idi Amin," Idi Amin was the third president of Uganda, ruling from 1971 to 1979. He was known for his brutal regime and human rights abuses, including torture, extrajudicial killings, and ethnic cleansing. During his presidency, he expelled thousands of Asians from Uganda and nationalized many businesses. In 1978, he invaded neighboring Tanzania, which led to a war that resulted in his defeat and exile.","| Idi Amin was a president.	True |
| Idi Amin was the third president of Uganda.	True |
| Idi Amin ruled from 1971 to 1979.	True |
| He was known for his brutal regime.	True |
| He was known for human rights abuses.	True |
| The human rights abuses included torture.	True |
| The human rights abuses included extrajudicial killings.	True |
| The human rights abuses included ethnic cleansing.	True |
| He was a president.	True |
| He expelled thousands of Asians from Uganda.	True |
| He nationalized many businesses.	True |
| He was a president during the expulsion of Asians from Uganda.	True |
| He was a president during the nationalization of many businesses.	True |
| The event occurred in 1978.	True |
| He invaded neighboring Tanzania.	True |
| The invasion led to a war.	True |
| The war resulted in his defeat.	True |
| The war resulted in his exile.	True |
",
Tell me a bio of Generoso Rossi," Generoso Rossi was an Italian journalist and publisher, who founded the newspaper 'Il Corriere della Sera' in Milan in 1876. He is considered one of the most important figures in the history of Italian journalism and publishing.","| Generoso Rossi was an Italian journalist.	False |
| Generoso Rossi was a publisher.	False |
| Generoso Rossi founded the newspaper 'Il Corriere della Sera'.	False |
| 'Il Corriere della Sera' was founded in Milan.	True |
| 'Il Corriere della Sera' was founded in 1876.	False |
| He is considered.	False |
| He is considered one of the most important figures.	False |
| He is considered one of the most important figures in the history of Italian journalism.	False |
| He is considered one of the most important figures in the history of Italian publishing.	False |
| He is considered one of the most important figures in the history of Italian journalism and publishing.	False |
","| Generoso Rossi was an Italian journalist. |
| Generoso Rossi was a publisher. |
| Generoso Rossi founded the newspaper 'Il Corriere della Sera'. |
| 'Il Corriere della Sera' was founded in 1876. |
| He is considered. |
| He is considered one of the most important figures. |
| He is considered one of the most important figures in the history of Italian journalism. |
| He is considered one of the most important figures in the history of Italian publishing. |
| He is considered one of the most important figures in the history of Italian journalism and publishing. |
"
"Tell me a bio of João Lucas (footballer, born 1991)"," João Lucas is a Brazilian football player who plays as a left-back for Fluminense. He was born on June 27th, 1991 in Rio de Janeiro, Brazil. João began his career at the youth level with Vasco da Gama and made his professional debut with the club in 2010. In 2012, he signed with Fluminense and has since established himself as a key member of the team. João has also represented the Brazilian national team","| João Lucas is a person.	True |
| João Lucas is a Brazilian.	True |
| João Lucas is a football player.	True |
| João Lucas plays as a left-back.	True |
| João Lucas plays for Fluminense.	False |
| He was born on June 27th, 1991.	False |
| He was born in Rio de Janeiro, Brazil.	False |
| João began his career at the youth level.	True |
| João began his career at the youth level with Vasco da Gama.	False |
| João made his professional debut.	True |
| João made his professional debut with Vasco da Gama.	False |
| João made his professional debut with Vasco da Gama in 2010.	False |
| In 2012, he signed with Fluminense.	False |
| He signed with Fluminense.	False |
| He established himself as a key member of the team.	True |
| He established himself as a key member of the team since signing with Fluminense in 2012.	False |
| João represented the Brazilian national team.	False |
| João has represented the Brazilian national team.	False |
","| João Lucas plays for Fluminense. |
| He was born on June 27th, 1991. |
| He was born in Rio de Janeiro, Brazil. |
| João began his career at the youth level with Vasco da Gama. |
| João made his professional debut with Vasco da Gama. |
| João made his professional debut with Vasco da Gama in 2010. |
| In 2012, he signed with Fluminense. |
| He signed with Fluminense. |
| He established himself as a key member of the team since signing with Fluminense in 2012. |
| João represented the Brazilian national team. |
| João has represented the Brazilian national team. |
"
Tell me a bio of Danny Almonte," Danny Almonte is an American former baseball player who played in the minor leagues. He was born on July 18, 1986 in Salinas, Puerto Rico. Almonte gained national attention when he pitched for his Little League team from the Bronx, New York City at the 2001 Little League World Series. He became the youngest player to pitch a shutout in the championship game, and was named MVP of the series. However, questions arose about his age and eligibility, and","| Danny Almonte is American.	False |
| Danny Almonte is a former baseball player.	True |
| Danny Almonte played in the minor leagues.	True |
| He was born on July 18, 1986.	False |
| He was born in Salinas.	False |
| He was born in Puerto Rico.	False |
| Almonte gained national attention.	True |
| Almonte pitched for his Little League team.	True |
| Almonte pitched for his Little League team from the Bronx, New York City.	True |
| The Little League World Series took place in 2001.	True |
| He became a player.	True |
| He became the youngest player.	False |
| He pitched a shutout in the championship game.	False |
| He was named MVP.	False |
| He was named MVP of the series.	False |
| Questions arose.	True |
| Questions arose about his age.	True |
| Questions arose about his eligibility.	True |
","| Danny Almonte is American. |
| He was born on July 18, 1986. |
| He was born in Salinas. |
| He was born in Puerto Rico. |
| He became the youngest player. |
| He pitched a shutout in the championship game. |
| He was named MVP. |
| He was named MVP of the series. |
"
Tell me a bio of Meg Thalken," Meg Thalken is an American journalist and author. She was born in Chicago, Illinois on August 17, 1960. She graduated from the University of Wisconsin-Madison with a degree in journalism. She worked as a reporter for several newspapers before joining NBC News in 1985. She has covered many major news stories including the 1991 Gulf War, the Oklahoma City bombing, and the 2008 presidential election. She is currently a correspondent for NBC Nightly News and MSNBC.","| Meg Thalken is a person.	True |
| Meg Thalken is American.	True |
| Meg Thalken is a journalist.	False |
| Meg Thalken is an author.	False |
| She was born in Chicago.	False |
| She was born in Illinois.	False |
| She was born on August 17, 1960.	True |
| She graduated from the University of Wisconsin-Madison.	True |
| She graduated with a degree in journalism.	False |
| She graduated with a degree in journalism from the University of Wisconsin-Madison.	False |
| She worked as a reporter.	False |
| She worked as a reporter for several newspapers.	False |
| She joined NBC News.	False |
| She joined NBC News in 1985.	False |
| She has covered major news stories.	False |
| She has covered the 1991 Gulf War.	False |
| She has covered the Oklahoma City bombing.	False |
| She has covered the 2008 presidential election.	False |
| She is currently a correspondent.	False |
| She is a correspondent for NBC Nightly News.	False |
| She is a correspondent for MSNBC.	False |
","| Meg Thalken is a journalist. |
| Meg Thalken is an author. |
| She was born in Chicago. |
| She was born in Illinois. |
| She graduated with a degree in journalism. |
| She graduated with a degree in journalism from the University of Wisconsin-Madison. |
| She worked as a reporter. |
| She worked as a reporter for several newspapers. |
| She joined NBC News. |
| She joined NBC News in 1985. |
| She has covered major news stories. |
| She has covered the 1991 Gulf War. |
| She has covered the Oklahoma City bombing. |
| She has covered the 2008 presidential election. |
| She is currently a correspondent. |
| She is a correspondent for NBC Nightly News. |
| She is a correspondent for MSNBC. |
"
Tell me a bio of Andy Middleton," Andy Middleton is an author, speaker and founder of the international sustainability consultancy, The Natural Step. He has written several books including 'The Sustainability Revolution: Portrait of a Paradigm Shift', 'Freeing the Corporation: How to Liberate Your Company from Short-Termism and Build Long-Term Value', and 'Radical Simplicity: Small Footprints on a Finite Earth'.","| Andy Middleton is an author.	False |
| Andy Middleton is a speaker.	False |
| Andy Middleton is the founder of The Natural Step.	False |
| The Natural Step is an international sustainability consultancy.	False |
| He has written several books.	False |
| One of the books he wrote is 'The Sustainability Revolution: Portrait of a Paradigm Shift'.	False |
| One of the books he wrote is 'Freeing the Corporation: How to Liberate Your Company from Short-Termism and Build Long-Term Value'.	False |
| One of the books he wrote is 'Radical Simplicity: Small Footprints on a Finite Earth'.	False |
","| Andy Middleton is an author. |
| Andy Middleton is a speaker. |
| Andy Middleton is the founder of The Natural Step. |
| The Natural Step is an international sustainability consultancy. |
| He has written several books. |
| One of the books he wrote is 'The Sustainability Revolution: Portrait of a Paradigm Shift'. |
| One of the books he wrote is 'Freeing the Corporation: How to Liberate Your Company from Short-Termism and Build Long-Term Value'. |
| One of the books he wrote is 'Radical Simplicity: Small Footprints on a Finite Earth'. |
"
Tell me a bio of Anderson Silva," Anderson Silva is a Brazilian mixed martial artist, former UFC Middleweight Champion, and widely regarded as one of the greatest MMA fighters of all time. He holds the longest title defense streak in UFC history with 16 consecutive wins, which was broken by Chris Weidman at UFC 162.","| Anderson Silva is a Brazilian.	True |
| Anderson Silva is a mixed martial artist.	True |
| Anderson Silva is a former UFC Middleweight Champion.	True |
| Anderson Silva is widely regarded as one of the greatest MMA fighters of all time.	True |
| He holds the longest title defense streak in UFC history.	True |
| The streak consists of 16 consecutive wins.	True |
| The streak was broken by Chris Weidman.	True |
| The streak was broken at UFC 162.	True |
",
Tell me a bio of Phillip Gillespie," Phillip Gillespie is an American musician, songwriter and producer. He was born on October 5, 1978 in Memphis, Tennessee. He started playing the guitar at the age of 12 and began writing songs when he was 14. In 1996, he formed the rock band The Flaming Lips with Wayne Coyne, Michael Ivins, and Steven Drozd. They released their debut album, 'Hear It Is,' in 1990. In 2002, they","| Phillip Gillespie is an American.	False |
| Phillip Gillespie is a musician.	False |
| Phillip Gillespie is a songwriter.	False |
| Phillip Gillespie is a producer.	False |
| He was born on October 5, 1978.	False |
| He was born in Memphis, Tennessee.	False |
| He started playing the guitar at the age of 12.	False |
| He began writing songs when he was 14.	False |
| It was formed in 1996.	False |
| He formed a rock band.	False |
| The rock band is called The Flaming Lips.	False |
| The members of The Flaming Lips are Wayne Coyne, Michael Ivins, and Steven Drozd.	False |
| They released their debut album.	False |
| The debut album is titled 'Hear It Is.'	False |
| The debut album was released in 1990.	False |
","| Phillip Gillespie is an American. |
| Phillip Gillespie is a musician. |
| Phillip Gillespie is a songwriter. |
| Phillip Gillespie is a producer. |
| He was born on October 5, 1978. |
| He was born in Memphis, Tennessee. |
| He started playing the guitar at the age of 12. |
| He began writing songs when he was 14. |
| It was formed in 1996. |
| He formed a rock band. |
| The rock band is called The Flaming Lips. |
| The members of The Flaming Lips are Wayne Coyne, Michael Ivins, and Steven Drozd. |
| They released their debut album. |
| The debut album is titled 'Hear It Is.' |
| The debut album was released in 1990. |
"
Tell me a bio of Edgar Bennett," Edgar Bennett was born on June 29, 1965 in Los Angeles, California. He played college football at the University of Miami and was drafted by the Green Bay Packers in the third round of the 1988 NFL Draft. During his playing career, he played as a wide receiver for the Packers from 1988 to 1994 and then for the New England Patriots from 1995 to 1997. After retiring as a player, he served as an assistant coach for various teams","| Edgar Bennett was born on June 29, 1965.	False |
| Edgar Bennett was born in Los Angeles.	False |
| Edgar Bennett was born in California.	False |
| He played college football.	True |
| He played college football at the University of Miami.	False |
| He was drafted by the Green Bay Packers.	True |
| He was drafted in the third round.	False |
| He was drafted in the 1988 NFL Draft.	False |
| He played as a wide receiver.	False |
| He played for the Packers from 1988 to 1994.	False |
| He played for the New England Patriots from 1995 to 1997.	False |
| He played during his playing career.	True |
| He played for the Packers.	True |
| He played for the New England Patriots.	False |
| He retired as a player.	True |
| He served as an assistant coach.	True |
| He served as an assistant coach for various teams.	True |
","| Edgar Bennett was born on June 29, 1965. |
| Edgar Bennett was born in Los Angeles. |
| Edgar Bennett was born in California. |
| He played college football at the University of Miami. |
| He was drafted in the third round. |
| He was drafted in the 1988 NFL Draft. |
| He played as a wide receiver. |
| He played for the Packers from 1988 to 1994. |
| He played for the New England Patriots from 1995 to 1997. |
| He played for the New England Patriots. |
"
Tell me a bio of Mike Melvill," Mike Melvill is an American aerospace engineer and pilot. He was the first person to fly a commercial spacecraft, SpaceShipOne, on October 4, 2004.","| Mike Melvill is an American.	False |
| Mike Melvill is an aerospace engineer.	False |
| Mike Melvill is a pilot.	True |
| He was the first person.	True |
| He flew a commercial spacecraft.	True |
| The spacecraft was SpaceShipOne.	True |
| The flight took place on October 4, 2004.	False |
","| Mike Melvill is an American. |
| Mike Melvill is an aerospace engineer. |
| The flight took place on October 4, 2004. |
